Speed, Unit, Time
15,Mbps,Wed Nov  1 07:29:00 2017
0, ,Wed Nov  1 07:30:01 2017
0, ,Wed Nov  1 07:31:01 2017
0, ,Wed Nov  1 07:32:01 2017
0, ,Wed Nov  1 07:33:02 2017
0, ,Wed Nov  1 07:34:02 2017
0, ,Wed Nov  1 07:35:02 2017
0, ,Wed Nov  1 07:36:02 2017
0, ,Wed Nov  1 07:37:03 2017
0, ,Wed Nov  1 07:38:03 2017
23,Mbps,Wed Nov  1 07:39:03 2017
21,Mbps,Wed Nov  1 07:40:04 2017
24,Mbps,Wed Nov  1 07:41:04 2017
22,Mbps,Wed Nov  1 07:42:04 2017
6.5,Mbps,Wed Nov  1 07:43:05 2017
910,Kbps,Wed Nov  1 07:44:05 2017
290,Kbps,Wed Nov  1 07:45:05 2017
10,Mbps,Wed Nov  1 07:46:05 2017
25,Mbps,Wed Nov  1 07:47:06 2017
19,Mbps,Wed Nov  1 07:48:06 2017
23,Mbps,Wed Nov  1 07:49:06 2017
16,Mbps,Wed Nov  1 07:50:06 2017
21,Mbps,Wed Nov  1 07:51:07 2017
22,Mbps,Wed Nov  1 07:52:07 2017
24,Mbps,Wed Nov  1 07:53:07 2017
23,Mbps,Wed Nov  1 07:54:08 2017
20,Mbps,Wed Nov  1 07:55:08 2017
8.0,Mbps,Wed Nov  1 07:56:08 2017
19,Mbps,Wed Nov  1 07:57:08 2017
9.7,Mbps,Wed Nov  1 07:58:09 2017
7.8,Mbps,Wed Nov  1 07:59:09 2017
21,Mbps,Wed Nov  1 08:00:09 2017
5.6,Mbps,Wed Nov  1 08:01:09 2017
6.6,Mbps,Wed Nov  1 08:02:10 2017
10,Mbps,Wed Nov  1 08:03:10 2017
3.1,Mbps,Wed Nov  1 08:04:10 2017
14,Mbps,Wed Nov  1 08:05:11 2017
25,Mbps,Wed Nov  1 08:06:11 2017
18,Mbps,Wed Nov  1 08:07:11 2017
8.2,Mbps,Wed Nov  1 08:08:11 2017
4.3,Mbps,Wed Nov  1 08:09:12 2017
24,Mbps,Wed Nov  1 08:10:12 2017
11,Mbps,Wed Nov  1 08:11:12 2017
6.9,Mbps,Wed Nov  1 08:12:13 2017
24,Mbps,Wed Nov  1 08:13:13 2017
11,Mbps,Wed Nov  1 08:14:13 2017
0, ,Wed Nov  1 08:15:13 2017
0, ,Wed Nov  1 08:16:14 2017
0, ,Wed Nov  1 08:17:14 2017
0, ,Wed Nov  1 08:18:14 2017
0, ,Wed Nov  1 08:19:14 2017
0, ,Wed Nov  1 08:20:15 2017
0, ,Wed Nov  1 08:21:15 2017
0, ,Wed Nov  1 08:22:15 2017
0, ,Wed Nov  1 08:23:15 2017
0, ,Wed Nov  1 08:24:16 2017
0, ,Wed Nov  1 08:25:16 2017
0, ,Wed Nov  1 08:26:16 2017
0, ,Wed Nov  1 08:27:17 2017
0, ,Wed Nov  1 08:28:17 2017
0, ,Wed Nov  1 08:29:17 2017
0, ,Wed Nov  1 08:30:17 2017
0, ,Wed Nov  1 08:31:18 2017
0, ,Wed Nov  1 08:32:18 2017
0, ,Wed Nov  1 08:33:18 2017
0, ,Wed Nov  1 08:34:19 2017
0, ,Wed Nov  1 08:35:19 2017
0, ,Wed Nov  1 08:36:19 2017
0, ,Wed Nov  1 08:37:19 2017
0, ,Wed Nov  1 08:38:20 2017
0, ,Wed Nov  1 08:39:20 2017
0, ,Wed Nov  1 08:40:20 2017
0, ,Wed Nov  1 08:41:20 2017
0, ,Wed Nov  1 08:42:21 2017
0, ,Wed Nov  1 08:43:21 2017
0, ,Wed Nov  1 08:44:21 2017
0, ,Wed Nov  1 08:45:22 2017
0, ,Wed Nov  1 08:46:22 2017
0, ,Wed Nov  1 08:47:22 2017
0, ,Wed Nov  1 08:48:22 2017
0, ,Wed Nov  1 08:49:23 2017
0, ,Wed Nov  1 08:50:23 2017
0, ,Wed Nov  1 08:51:23 2017
0, ,Wed Nov  1 08:52:24 2017
0, ,Wed Nov  1 08:53:24 2017
0, ,Wed Nov  1 08:54:24 2017
0, ,Wed Nov  1 08:55:24 2017
0, ,Wed Nov  1 08:56:25 2017
0, ,Wed Nov  1 08:57:25 2017
0, ,Wed Nov  1 08:58:25 2017
0, ,Wed Nov  1 08:59:26 2017
0, ,Wed Nov  1 09:00:26 2017
0, ,Wed Nov  1 09:01:26 2017
0, ,Wed Nov  1 09:02:26 2017
0, ,Wed Nov  1 09:03:27 2017
0, ,Wed Nov  1 09:04:27 2017
0, ,Wed Nov  1 09:05:27 2017
0, ,Wed Nov  1 09:06:28 2017
0, ,Wed Nov  1 09:07:28 2017
0, ,Wed Nov  1 09:08:28 2017
0, ,Wed Nov  1 09:09:28 2017
0, ,Wed Nov  1 09:10:29 2017
0, ,Wed Nov  1 09:11:29 2017
0, ,Wed Nov  1 09:12:29 2017
0, ,Wed Nov  1 09:13:30 2017
0, ,Wed Nov  1 09:14:30 2017
0, ,Wed Nov  1 09:15:30 2017
0, ,Wed Nov  1 09:16:31 2017
0, ,Wed Nov  1 09:17:31 2017
0, ,Wed Nov  1 09:18:31 2017
0, ,Wed Nov  1 09:19:31 2017
0, ,Wed Nov  1 09:20:32 2017
0, ,Wed Nov  1 09:21:32 2017
0, ,Wed Nov  1 09:22:32 2017
0, ,Wed Nov  1 09:23:33 2017
0, ,Wed Nov  1 09:24:33 2017
0, ,Wed Nov  1 09:25:33 2017
0, ,Wed Nov  1 09:26:33 2017
0, ,Wed Nov  1 09:27:34 2017
0, ,Wed Nov  1 09:28:34 2017
0, ,Wed Nov  1 09:29:34 2017
0, ,Wed Nov  1 09:30:35 2017
0, ,Wed Nov  1 09:31:35 2017
0, ,Wed Nov  1 09:32:35 2017
0, ,Wed Nov  1 09:33:35 2017
0, ,Wed Nov  1 09:34:36 2017
0, ,Wed Nov  1 09:35:36 2017
0, ,Wed Nov  1 09:36:36 2017
2.3,Mbps,Wed Nov  1 11:16:46 2017
10,Mbps,Wed Nov  1 11:17:46 2017
23,Mbps,Wed Nov  1 11:18:46 2017
16,Mbps,Wed Nov  1 11:19:47 2017
17,Mbps,Wed Nov  1 11:20:47 2017
24,Mbps,Wed Nov  1 11:21:47 2017
4.1,Mbps,Wed Nov  1 11:22:48 2017
21,Mbps,Wed Nov  1 11:23:48 2017
14,Mbps,Wed Nov  1 11:24:48 2017
25,Mbps,Wed Nov  1 11:25:48 2017
6.1,Mbps,Wed Nov  1 11:26:49 2017
22,Mbps,Wed Nov  1 11:27:49 2017
16,Mbps,Wed Nov  1 11:28:49 2017
22,Mbps,Wed Nov  1 11:29:50 2017
23,Mbps,Wed Nov  1 11:30:50 2017
11,Mbps,Wed Nov  1 11:31:50 2017
2.2,Mbps,Wed Nov  1 11:32:50 2017
21,Mbps,Wed Nov  1 11:33:51 2017
24,Mbps,Wed Nov  1 11:34:51 2017
25,Mbps,Wed Nov  1 11:35:51 2017
25,Mbps,Wed Nov  1 11:36:52 2017
25,Mbps,Wed Nov  1 11:37:52 2017
25,Mbps,Wed Nov  1 11:38:52 2017
25,Mbps,Wed Nov  1 11:39:53 2017
25,Mbps,Wed Nov  1 11:40:53 2017
25,Mbps,Wed Nov  1 11:41:53 2017
25,Mbps,Wed Nov  1 11:42:53 2017
25,Mbps,Wed Nov  1 11:43:54 2017
24,Mbps,Wed Nov  1 11:44:54 2017
17,Mbps,Wed Nov  1 11:45:54 2017
25,Mbps,Wed Nov  1 11:46:55 2017
25,Mbps,Wed Nov  1 11:47:55 2017
13,Mbps,Wed Nov  1 11:48:55 2017
24,Mbps,Wed Nov  1 11:49:55 2017
25,Mbps,Wed Nov  1 11:50:56 2017
25,Mbps,Wed Nov  1 11:51:56 2017
25,Mbps,Wed Nov  1 11:52:56 2017
21,Mbps,Wed Nov  1 11:53:57 2017
6.6,Mbps,Wed Nov  1 11:54:57 2017
14,Mbps,Wed Nov  1 11:55:57 2017
25,Mbps,Wed Nov  1 11:56:57 2017
25,Mbps,Wed Nov  1 11:57:58 2017
18,Mbps,Wed Nov  1 11:58:58 2017
24,Mbps,Wed Nov  1 11:59:58 2017
21,Mbps,Wed Nov  1 12:00:58 2017
21,Mbps,Wed Nov  1 12:01:59 2017
8.8,Mbps,Wed Nov  1 12:02:59 2017
19,Mbps,Wed Nov  1 12:03:59 2017
20,Mbps,Wed Nov  1 12:05:00 2017
17,Mbps,Wed Nov  1 12:06:00 2017
21,Mbps,Wed Nov  1 12:07:00 2017
25,Mbps,Wed Nov  1 12:08:00 2017
25,Mbps,Wed Nov  1 12:09:01 2017
